"Title";"Winner";"NumberOfSolutions";"Cost";"PostTime";"SolutionTime";"Tags"
"Bountify | need code to read USB flash drive to React app on an iPad";"";"3 Solutions";"$100";"Posted over 1 year ago";"";"ios react-js usb "
"Bountify | python unit tests for reading and writing functions";"";"0 Solutions";"$10";"Posted over 1 year ago";"";"python unit-testing "
"Bountify | updating pandas dataframes conditionally";"kerncy";"3 Solutions";"$10";"Posted over 1 year ago";"over 1 year ago";"python pandas "
"Bountify | Pine Script for TradingView that Draws Horizontal Lines";"CyteBode";"2 Solutions";"$50";"Posted almost 2 years ago";"almost 2 years ago";"pine-script tradingview "
"Bountify | Angular 6+ oembed solution";"ocanal";"2 Solutions";"$100";"Posted almost 2 years ago";"almost 2 years ago";"angularjs angular6+ "
"Bountify | IE Madness.  I am looking for the secret CSS to resolve this issue on IE 10 (and likely other IE browsers)";"ocanal";"1 Solution";"$5";"Posted almost 2 years ago";"almost 2 years ago";"css internet-explorer bootstrap-4 easy5 "
"Bountify | Murmur3 Hash Inverse";"";"1 Solution";"$25";"Posted almost 2 years ago";"";"java "
"Bountify | Python 2 -> Python 3 Tektronics Oscilloscope ISF binary file data extraction ";"";"1 Solution";"$10";"Posted almost 2 years ago";"";"python python3 isf binary "
"Bountify | Need assistance configuring AWS Serverless Image Handler";"Wuddrum";"1 Solution";"$25";"Posted almost 2 years ago";"almost 2 years ago";"aws "
"Bountify | Convert a PHP object to an array that I can loop through";"danielnaranjo";"1 Solution";"$1";"Posted almost 2 years ago";"almost 2 years ago";"PHP arrays json objects "
"Bountify | Google Translate Project";"CyteBode";"2 Solutions";"$50";"Posted almost 2 years ago";"almost 2 years ago";""
"Bountify | Css Layout does not return to previous state...";"fabian muema";"2 Solutions";"$10";"Posted almost 2 years ago";"almost 2 years ago";""
"Bountify | JS to add click events for offsite links";"Wuddrum";"3 Solutions";"$50";"Posted almost 2 years ago";"almost 2 years ago";"javascript "
"Bountify | R function to draw by row based on changing normal distribution";"";"1 Solution";"$10";"Posted almost 2 years ago";"";""
"Bountify | CAB S3-SQUIX printer ";"";"0 Solutions";"$50";"Posted over 1 year ago";"";"printing squix barcode qr bartender "
"Bountify | Get ID from url path - regex";"Chris Werner Rau";"2 Solutions";"$10";"Posted over 1 year ago";"over 1 year ago";"regex "
"Bountify | python - clean up urls and aggregate counts";"lmacken";"1 Solution";"$25";"Posted over 1 year ago";"over 1 year ago";"python3 "
"Bountify | Samsung Watch 3 (tizen) simple STT (speech to text) stub app";"Vlad";"2 Solutions";"$50";"Posted over 1 year ago";"over 1 year ago";"tizen samsung-watch "
"Bountify | nginx config for sub dir to sub domain request rewrite";"kerncy";"1 Solution";"$25";"Posted over 1 year ago";"over 1 year ago";"nginx "
"Bountify | Alert sound for tags in Minecraft chat (FABRIC modloader only)";"ProfessorG";"1 Solution";"$25";"Posted over 1 year ago";"over 1 year ago";""
"Bountify | WordPress action to sort a relational field in a custom post type";"kostasx";"1 Solution";"$25";"Posted over 1 year ago";"over 1 year ago";"PHP wordpress custom-post-types pods "
"Bountify | Dynamic pdf form/url - works in chrome and acrobat reader";"Wuddrum";"1 Solution";"$50";"Posted over 1 year ago";"over 1 year ago";""
"Bountify | BulmaAccordian modification or clarification";"ocanal";"1 Solution";"$25";"Posted over 1 year ago";"over 1 year ago";"react-js bulma accordian card "
"Bountify | JSON query Firestore";"";"0 Solutions";"$25";"Posted over 1 year ago";"";"json firebase "
"Bountify | OpenWrt LuCI module for PXE boot menu";"";"0 Solutions";"$25";"Posted over 1 year ago";"";"web lua "
"Bountify | process time series export to get visit flow / cohort (python)";"Wuddrum";"1 Solution";"$100";"Posted over 1 year ago";"over 1 year ago";"python "
"Bountify | Format numbers in a text string";"ocanal";"3 Solutions";"$25";"Posted over 1 year ago";"over 1 year ago";"javascript "
"Bountify | Scrape Earnings Call Transcripts from seekingalpha.com";"";"0 Solutions";"$50";"Posted over 1 year ago";"";""
"Bountify | Simple Text Editor That Will Automatically Style Certain Phrases";"kostasx";"2 Solutions";"$25";"Posted over 1 year ago";"over 1 year ago";"css html jQuery wysiwig "
"Bountify | Shell script- prompt user for password, save in variable and call that variable when promoted for ssh password";"kerncy";"2 Solutions";"$5";"Posted over 1 year ago";"over 1 year ago";""
"Bountify | CSV to json - tree structure";"";"5 Solutions";"$100";"Posted over 1 year ago";"";"javascript "
"Bountify | Contenteditable HTML tags interfering with editor's predictive text functionality";"kostasx";"4 Solutions";"$25";"Posted over 1 year ago";"over 1 year ago";"autocomplete contenteditable texteditor formatting javascript "
"Bountify | Catch image error from youtube and rewrite to find correct image";"ocanal";"1 Solution";"$25";"Posted over 1 year ago";"over 1 year ago";"javascript "
"Bountify | Docker-compose to docker file";"tomtoump";"1 Solution";"$100";"Posted over 1 year ago";"over 1 year ago";"docker docker-compose "
"Bountify | CSS - Why does this print to 2 pages in Chrome?";"B44ken";"1 Solution";"$10";"Posted over 1 year ago";"over 1 year ago";"javascript css wordpress "
"Bountify | Create version of page based on hashing page html";"Wuddrum";"1 Solution";"$25";"Posted over 1 year ago";"over 1 year ago";"javascript "
"Bountify | javascript to brute combinations of a string";"Vlad";"4 Solutions";"$100";"Posted over 1 year ago";"over 1 year ago";"javascript "
"Bountify | Speech to Text in Python using Google Cloud API.";"ocanal";"1 Solution";"$25";"Posted over 1 year ago";"over 1 year ago";"google-cloud "
"Bountify | Regex to find match of 2 strings in order";"Wuddrum";"2 Solutions";"$50";"Posted over 1 year ago";"over 1 year ago";"regex "
"Bountify | Optimize python script for parallel processing/scale";"Wuddrum";"3 Solutions";"$100";"Posted over 1 year ago";"over 1 year ago";"python3 "
"Bountify | How to find most unread email recipient and delete all those emails";"mashtullah";"1 Solution";"$5";"Posted over 1 year ago";"over 1 year ago";"gmail-api "
"Bountify | Add/Remove class based on scroll and position";"kerncy";"1 Solution";"$10";"Posted over 1 year ago";"over 1 year ago";"javascript css "
"Bountify | update regex to just get domains";"Wuddrum";"1 Solution";"$25";"Posted over 1 year ago";"over 1 year ago";"regex "
"Bountify | Node - Download a file from box ftp site and upload to google cloud bucket";"ocanal";"1 Solution";"$25";"Posted over 1 year ago";"over 1 year ago";"node.js google-cloud-platform "
"Bountify | Python - Cleanup domain list to make urls and find the sitemap";"meo";"2 Solutions";"$50";"Posted over 1 year ago";"over 1 year ago";"python3 "
"Bountify | Code for MongoDB Stitch function or AWS Lambda to render an html page to text";"meo";"2 Solutions";"$100";"Posted over 1 year ago";"over 1 year ago";"javascript mongoddb stitch aws-lambda "
"Bountify | Approach to identifying similar images";"Wuddrum";"3 Solutions";"$50";"Posted over 1 year ago";"over 1 year ago";"image recognition image-processing "
"Bountify | Python code to process and summarize images ";"kerncy";"2 Solutions";"$100";"Posted over 1 year ago";"over 1 year ago";"python3 "
"Bountify | Process an image with javascript and output image and data";"kerncy";"2 Solutions";"$100";"Posted over 1 year ago";"over 1 year ago";"javascript "
"Bountify | Python 3 script to convert XML file rows into csv and HTML files";"meo";"2 Solutions";"$50";"Posted over 1 year ago";"over 1 year ago";"xml pdf html csv python3 "
"Bountify | Vue.js: Business logic best practices?";"";"1 Solution";"$5";"Posted over 1 year ago";"";"vue-js "
"Bountify | update regex to find ID's just in the last segment of the url ";"Wuddrum";"1 Solution";"$25";"Posted over 1 year ago";"over 1 year ago";"regex "
"Bountify | Convert function from Python to C++";"";"1 Solution";"$100";"Posted over 1 year ago";"";"c++ python statistics "
"Bountify | Excel formula or macro help";"Stefano Balzarotti";"1 Solution";"$50";"Posted over 1 year ago";"over 1 year ago";"excel "
"Bountify | How are websites able to remove their content from the WayBack Machine?";"kostasx";"2 Solutions";"$1";"Posted  1 year ago";"1 year ago";"robots-txt "
"Bountify | NGINX url rewite rules";"weslly";"2 Solutions";"$50";"Posted  1 year ago";"1 year ago";""
"Bountify | JS Beat Detector with Web Audio Input from microphone source";"Bharath Nair";"2 Solutions";"$100";"Posted  1 year ago";"1 year ago";"javascript web-audio-input "
"Bountify | AHK - Autohotkey mutli key trigger functions";"mashtullah";"1 Solution";"$25";"Posted  1 year ago";"1 year ago";"autohotkey ahk "
"Bountify | regex url for ticket ID";"B44ken";"5 Solutions";"$25";"Posted  1 year ago";"1 year ago";"regex "
"Bountify | How to know the number of views that a specific wikipedia page has each day?";"B44ken";"1 Solution";"$1";"Posted  1 year ago";"1 year ago";""
"Bountify | Lazy Load pdf - pdfjs";"";"2 Solutions";"$100";"Posted  1 year ago";"";""
"Bountify | Fix broken CSS layout with improper overflow";"Wuddrum";"2 Solutions";"$25";"Posted  1 year ago";"1 year ago";"css html "
"Bountify | Custom chart with d3.js ";"Wuddrum";"2 Solutions";"$100";"Posted  1 year ago";"1 year ago";"javascript "
"Bountify | PHP & Regex, replacing multiple lines of text in a .ics feed";"alexanderk23";"1 Solution";"$10";"Posted  1 year ago";"1 year ago";"PHP regex regexp "
"Bountify | How to approach building a PDF comparison like";"";"5 Solutions";"$100";"Posted  1 year ago";"";"javascript python node.js pdf "
"Bountify | Python script returning an array of precise musical notes, that were being played within an indian classical music performance recording or live performance.";"";"0 Solutions";"$10";"Posted  1 year ago";"";"python "
"Bountify | Python Script to Run Command N Times a Second";"CyteBode";"2 Solutions";"$10";"Posted  1 year ago";"1 year ago";"python python3 "
"Bountify | Simple and elegant CSS indeterminate progress bar ";"fabian muema";"2 Solutions";"$10";"Posted  1 year ago";"1 year ago";""
"Bountify | See bitcoin price from website ""preev.com"" next to date and time on Ubuntu 18.04";"da2x";"2 Solutions";"$10";"Posted  1 year ago";"1 year ago";"ubuntu bitcoin "
"Bountify | MS Word Macro to change image width";"mashtullah";"1 Solution";"$1";"Posted  1 year ago";"1 year ago";"macro "
"Bountify | Typing / Keyboard input speed test ";"Vlad";"2 Solutions";"$100";"Posted  1 year ago";"1 year ago";"javascript "
"Bountify | Front-end issue: Button not showing up properly in mobile for chrome.";"fabian muema";"2 Solutions";"$5";"Posted  1 year ago";"1 year ago";"frontend html wordpress css divi "
"Bountify | Add ESP32 compatibility to an existing Arduino Library";"CyteBode";"1 Solution";"$25";"Posted over 1 year ago";"1 year ago";"arduino esp32 "
"Bountify | Generate Thumbnail & Copyable HTML for YouTube Videos (+$10 on delivery)";"ocanal";"3 Solutions";"$10";"Posted over 1 year ago";"over 1 year ago";"javascript html youtube-api image-processing "
"Bountify | Display real time data points on a local screen. (Rpi 4)";"";"0 Solutions";"$25";"Posted  1 year ago";"";"UISearchDisplayController RPI python3 "
"Bountify | Grassberry Environment Controller Mods ""display data points on a local screen"" Rpi 4";"TheOsch";"1 Solution";"$50";"Posted  1 year ago";"1 year ago";""
"Bountify | Bulk watermark images in python";"kerncy";"4 Solutions";"$100";"Posted  1 year ago";"1 year ago";"python3 "
"Bountify | Draw Polygon on image and get coordinates";"B44ken";"2 Solutions";"$50";"Posted  1 year ago";"1 year ago";"javascript "
"Bountify | Getting permission denied on /var/www/storage/logs/laravel.log for a Laravel app in Docker";"TheOsch";"2 Solutions";"$10";"Posted  1 year ago";"1 year ago";"nginx laravel docker linux PHP "
"Bountify | Combination generator - javascript/python/node";"ocanal";"1 Solution";"$50";"Posted  1 year ago";"1 year ago";""
"Bountify | AWS API Gateway Full OAuth/OIDC Authorization code flow";"";"1 Solution";"$50";"Posted  1 year ago";"";"oauth openid authorization-code authorization-code-flow cognito oauth-2-0 "
"Bountify | Need Two docker containers to communicate together. ";"";"2 Solutions";"$25";"Posted  1 year ago";"";"PHP nginx docker "
"Bountify | Custom date picker (Jquery)";"Miro";"2 Solutions";"$5";"Posted  1 year ago";"1 year ago";"html jQuery bootstrap-3 "
"Bountify | Refresh body on-click to achieve anywhere page refreshing?";"ivankahl";"4 Solutions";"$5";"Posted  1 year ago";"1 year ago";"javascript html "
"Bountify | HTML5 and Javascript code for a geolocation conversion tool and google maps extra work";"Chlegou";"2 Solutions";"$50";"Posted  1 year ago";"1 year ago";""
"Bountify | URGENT: modify character substitution code to dedup and have distance";"Wuddrum";"1 Solution";"$100";"Posted  1 year ago";"1 year ago";"javascript "
"Bountify | Compiling c++ software in ubuntu";"TheOsch";"1 Solution";"$10";"Posted  1 year ago";"1 year ago";"c++ "
"Bountify | Google Map Javascript API - Adding InfoWindow to Marker Cluster";"Chlegou";"1 Solution";"$10";"Posted  1 year ago";"1 year ago";"javascript google-map google-api "
"Bountify | Google Sheet webhook on cell/sheet/row edit";"";"1 Solution";"$50";"Posted  1 year ago";"";""
"Bountify | MongoDB (Node.JS) Create, Append, and Update.";"";"1 Solution";"$10";"Posted  1 year ago";"";"javascript mongodb crud nodejs "
"Bountify | Extract (js embeded) table from HTML in R (or python)";"";"1 Solution";"$5";"Posted  1 year ago";"";"html table csv web-scraping "
"Bountify | I'll pay you $1 USD for you to tell me the name of the artist in the picture ";"ST2-EV";"1 Solution";"$1";"Posted  1 year ago";"1 year ago";""
"Bountify | IIS reverse proxy regex string / settings";"";"1 Solution";"$10";"Posted  1 year ago";"";"regex iis reverse-proxy "
"Bountify | Python3: Add a line to to a slide   ";"drakmail";"1 Solution";"$25";"Posted  1 year ago";"1 year ago";"python3 pptx "
"Bountify | Please find me a service that safely shares my email behind a CAPTCHA";"jwetzell";"4 Solutions";"$10";"Posted 11 months ago";"11 months ago";""
"Bountify | Pine script for plotting horizontal lines in TradingView";"ocanal";"1 Solution";"$50";"Posted 11 months ago";"11 months ago";"pine-script tradingview "
"Bountify | Javascript to insert YouTube video based on URL parameter";"sguha";"2 Solutions";"$10";"Posted 11 months ago";"11 months ago";"javascript "
"Bountify | .htaccess, default to full size image if thumbnail does not exist";"";"3 Solutions";"$10";"Posted 11 months ago";"";"PHP -htaccess "
"Bountify | After Rebooting Host Machine, VPN connection doesn't work anymore";"dekkard";"2 Solutions";"$100";"Posted 11 months ago";"11 months ago";"docker "
"Bountify | How to/is it possible to add fingerprint login to mobile wordpress site?";"VladimirMikulic";"2 Solutions";"$10";"Posted 11 months ago";"11 months ago";""
"Bountify | Simple Python 3 Machine Learning for Flash Game";"KieranL";"1 Solution";"$25";"Posted 11 months ago";"11 months ago";"pc-game python flash machine-learning artificial-intelligence club-penguin flash-game python-3 python3 "
"Bountify | Code to start recording a video when embedded video is playing";"sguha";"2 Solutions";"$10";"Posted 11 months ago";"11 months ago";"javascript "
"Bountify | Need Help Generating a Much Higher Quality Image of DIV";"VladimirMikulic";"1 Solution";"$25";"Posted 11 months ago";"11 months ago";"canvas fabricjs html2canvas "
"Bountify | Trying to configure VYOS's VPN inside Docker, then trying to VPN into it.";"dekkard";"2 Solutions";"$25";"Posted 11 months ago";"11 months ago";"docker "
"Bountify | Play a video when the record button is pressed";"sguha";"1 Solution";"$10";"Posted 11 months ago";"11 months ago";"javascript "
"Bountify | Statically compile zita-njbridge so it runs on 64-bit Windows with JACK";"dekkard";"1 Solution";"$10";"Posted 12 months ago";"11 months ago";"windows audio "
"Bountify | BMI Calculator needs option to switch to imperial";"";"2 Solutions";"$1";"Posted 12 months ago";"";"javascript jQuery "
"Bountify | Compile this CodeBlocks Project";"dekkard";"1 Solution";"$5";"Posted 12 months ago";"11 months ago";"c++ github codeblocks "
"Bountify | Automatic Breadcrumb js - angular page";"TheOsch";"1 Solution";"$25";"Posted 12 months ago";"12 months ago";"javascript "
"Bountify | nginx redirect argument";"dekkard";"2 Solutions";"$25";"Posted 12 months ago";"12 months ago";"nginx "
"Bountify | Text summarization interface facelift and added feature";"VladimirMikulic";"1 Solution";"$25";"Posted 12 months ago";"12 months ago";"text editors text-processing "
"Bountify | Transform and re-map coordinates - javascript angular 8";"kerncy";"2 Solutions";"$50";"Posted 12 months ago";"12 months ago";"javascript "
"Bountify | Getting Bad Element errors on pages that don't have a grid element";"Sanjo";"3 Solutions";"$5";"Posted  1 year ago";"1 year ago";"javascript "
"Bountify | Stop YouTube Video inside Modal from Playing on Modal Close";"Sanjo";"2 Solutions";"$10";"Posted  1 year ago";"1 year ago";"javascript "
"Bountify | Stock tips: looking for small to medium size tech companies";"";"0 Solutions";"$25";"Posted 10 months ago";"";"stocks "
"Bountify | Python word cloud, need to control font size and colour";"VladimirMikulic";"1 Solution";"$25";"Posted 10 months ago";"10 months ago";"python3 "
"Bountify | Dropzonejs.com check first then upload";"VladimirMikulic";"1 Solution";"$5";"Posted 10 months ago";"10 months ago";"javascript jQuery dropzonejs "
"Bountify | Show me the best place to learn PHP, specifically Plugin development";"B44ken";"4 Solutions";"$5";"Posted 10 months ago";"10 months ago";"PHP wordpress-plugin "
"Bountify | Please fork and rename Brave browser";"VladimirMikulic";"1 Solution";"$100";"Posted 10 months ago";"10 months ago";"javascript web "
"Bountify | Python sns heatmap plot, need to show a text for legend y axis #2";"VladimirMikulic";"1 Solution";"$10";"Posted 10 months ago";"10 months ago";""
"Bountify | Python sns heatmap plot, need to show a text for legend y axis ";"VladimirMikulic";"1 Solution";"$10";"Posted 10 months ago";"10 months ago";"python3 "
"Bountify | Sub-sorting lists in Python3";"VladimirMikulic";"1 Solution";"$10";"Posted 10 months ago";"10 months ago";"python3 "
"Bountify | Render semi-translucent cubes using WebGL";"drakmail";"2 Solutions";"$25";"Posted 10 months ago";"10 months ago";"web chrome webgl "
"Bountify | Python word cloud duplicate image and blank file. ";"VladimirMikulic";"1 Solution";"$10";"Posted 10 months ago";"10 months ago";"python3 "
"Bountify | Record in a different codec when Firefox is detected - Javascript";"VladimirMikulic";"1 Solution";"$10";"Posted 10 months ago";"10 months ago";"javascript webrtc "
"Bountify | Python matplotlib plot legend duplication";"kostasx";"1 Solution";"$10";"Posted 10 months ago";"10 months ago";"python3 "
"Bountify | C# BPM Detector on Audio File";"TheOsch";"1 Solution";"$100";"Posted 10 months ago";"10 months ago";"javascript c# bpm tempo "
"Bountify | Python seaborn heatmap, how to plot y axis labels.";"TheOsch";"2 Solutions";"$10";"Posted 10 months ago";"10 months ago";"python3 "
"Bountify | Webapp to donate to people by phone number";"VladimirMikulic";"1 Solution";"$50";"Posted 10 months ago";"10 months ago";"Heroku webapp "
"Bountify | Write a parser for Newspeak in Go";"";"0 Solutions";"$10";"Posted 10 months ago";"";"golang justforfun "
"Bountify | Which public tech company is most likely to double in value in the next 6 months to 2 years and why?";"ST2-EV";"4 Solutions";"$25";"Posted 11 months ago";"11 months ago";""
"Bountify | Please create a simple script to extract data from these PDFs";"mashtullah";"3 Solutions";"$50";"Posted 11 months ago";"11 months ago";"pdf "
"Bountify | Google maps crawler that grabs all business info of ""Non claimed"" businesses.";"";"0 Solutions";"$50";"Posted 11 months ago";"";""
"Bountify | What's the smartest way to short Bitcoin in fiat currency";"VladimirMikulic";"2 Solutions";"$50";"Posted 11 months ago";"11 months ago";"bitcoin finance "
"Bountify | D3.js - Difficult zoom problem";"TheOsch";"1 Solution";"$100";"Posted 8 months ago";"8 months ago";""
"Bountify | Demo Mobile App Technology Evaluation";"kerncy";"2 Solutions";"$100";"Posted 8 months ago";"8 months ago";"mobile-app android mongodb ios flutter honeycode "
"Bountify | Efficient pattern matching algo (python or js)";"";"2 Solutions";"$100";"Posted 9 months ago";"";"python algorithm javascript "
"Bountify | Need Two docker containers to communicate together.";"";"1 Solution";"$10";"Posted 9 months ago";"";"laravel docker docker-compose "
"Bountify | App or technology to search unstructured JSON files?";"";"1 Solution";"$1";"Posted 9 months ago";"";"datatables nosql mongodb jQuery json "
"Bountify | Update function to Julia 1.x syntax";"";"0 Solutions";"$10";"Posted 9 months ago";"";"data-structures julia upgrade "
"Bountify | Python Selenium Salesforce file upload  ";"VladimirMikulic";"1 Solution";"$25";"Posted 9 months ago";"9 months ago";"python3 selenium salesforce "
"Bountify | Modify browser JS into Node JS script";"VladimirMikulic";"1 Solution";"$50";"Posted 9 months ago";"9 months ago";"javascript node.js "
"Bountify | Make a treemap chart with Plotly Express";"VladimirMikulic";"1 Solution";"$50";"Posted 9 months ago";"9 months ago";""
"Bountify | Make a wind rose chart with Plotly Express";"kerncy";"1 Solution";"$50";"Posted 9 months ago";"9 months ago";""
"Bountify | Button inside collection view cell not responding to layout changes";"HeyYehey";"1 Solution";"$25";"Posted 9 months ago";"9 months ago";"ios iOS iPhone iPad XCode swift "
"Bountify | Node JS MD5 + Base64 ";"TheOsch";"1 Solution";"$10";"Posted 10 months ago";"10 months ago";"node.js "
"Bountify | MS Windows operator to search for applications only in Windows Search";"B44ken";"1 Solution";"$1";"Posted 10 months ago";"10 months ago";"windows-7 "
"Bountify | Data not showing on vue2vis timeline (vis.js)";"VladimirMikulic";"1 Solution";"$10";"Posted 10 months ago";"10 months ago";"javascript css vue2 nuxt "
"Bountify | NodeJS podcast player deployed on glitch";"";"1 Solution";"$25";"Posted 10 months ago";"";"nodejs "
"Bountify | How to record audio while simultaneously listening in real-time?";"sguha";"1 Solution";"$10";"Posted 10 months ago";"10 months ago";"javascript webrtc "
"Bountify | How to password protect a react microsite served as a subdomain over Cloudflare.";"kostasx";"2 Solutions";"$10";"Posted 10 months ago";"10 months ago";"amazon-s3 react-js cloudflare "
"Bountify | Code to enable media recording on Chrome/Firefox on iPhone/iPad";"VladimirMikulic";"1 Solution";"$10";"Posted 10 months ago";"10 months ago";"javascript webrtc "
"Bountify | Executing native code in Electron app (Node.JS / Javascript)";"drakmail";"1 Solution";"$50";"Posted 11 months ago";"10 months ago";"mac objective-c node.js swift nodejs electron macos javascript "
"Bountify | Python Seaborn Heat-map not plotting all pandas columns";"VladimirMikulic";"1 Solution";"$25";"Posted 10 months ago";"10 months ago";"python3 "
"Bountify | Window positions restore after multi monitor sleep/wakeup";"";"2 Solutions";"$50";"Posted 5 months ago";"";"linux "
"Bountify | Need a python script that converts live and/or recorded, vocal and/or instrumental (Maximum number of instruments = 6) music audio and/or mp3 to standard midi file format.";"VladimirMikulic";"2 Solutions";"$10";"Posted 5 months ago";"5 months ago";"python "
"Bountify | Provide a list of file offsets within an ISO9660 file and the associated file path information and filename, and file sizes";"CyteBode";"1 Solution";"$10";"Posted 5 months ago";"5 months ago";"iso disk-image cdrom iso9660 linux "
"Bountify | Python XML to  Dict parser ";"VladimirMikulic";"1 Solution";"$25";"Posted 5 months ago";"5 months ago";"xml python3 "
"Bountify | Better Organize the macOS Launchpad";"TheOsch";"1 Solution";"$5";"Posted 5 months ago";"5 months ago";"mac macos launchpad "
"Bountify | Translate Python Pil pHash to c++";"TheOsch";"1 Solution";"$100";"Posted 6 months ago";"5 months ago";"c++ python "
"Bountify | Need C or Python Script for calculating the cumulative time span - corresponding to 'on' status of midi note.";"TheOsch";"1 Solution";"$5";"Posted 6 months ago";"6 months ago";"c python "
"Bountify | Need help with Nuxt.js and Nuxt-Auth";"VladimirMikulic";"1 Solution";"$10";"Posted 6 months ago";"6 months ago";"nuxt nuxt-auth vue-js "
"Bountify | Create a Live List of Read Books on Goodreads";"VladimirMikulic";"2 Solutions";"$50";"Posted 7 months ago";"6 months ago";"python3 goodreads books "
"Bountify | Python JSON search problem";"";"3 Solutions";"$1";"Posted 7 months ago";"";""
"Bountify | Find the cartesian X-Y-Z coordinates of cube: 3141592653589793238462";"TheOsch";"3 Solutions";"$50";"Posted 7 months ago";"7 months ago";""
"Bountify | Dockerize the github repo";"";"0 Solutions";"$1";"Posted 7 months ago";"";"docker "
"Bountify | React Sharing Data Between Components without reloading component";"VladimirMikulic";"1 Solution";"$50";"Posted 7 months ago";"7 months ago";"javascript react-js "
"Bountify | Automate LinkedIn Scrape Content Feed (Personal Use)";"VladimirMikulic";"1 Solution";"$10";"Posted 7 months ago";"7 months ago";"web-scraping "
"Bountify | Change python script to be non-interactive and accept list input";"drakmail";"4 Solutions";"$25";"Posted 7 months ago";"7 months ago";""
"Bountify | Scrape Earnings Call Transcripts from seekingalpha.com - R code";"VladimirMikulic";"1 Solution";"$25";"Posted 7 months ago";"7 months ago";"Web scrapping scraper "
"Bountify | Export from blocksci to Neo4j";"";"1 Solution";"$100";"Posted 8 months ago";"";"neo4j pandas bitcoin blockchain python3 "
"Bountify | python corrupted fragment finder";"VladimirMikulic";"2 Solutions";"$10";"Posted 8 months ago";"8 months ago";"python binary file-manipulation "
"Bountify | Make HTML5 and iFrame videos stop and rewind when Badger Accordion tab closed";"";"0 Solutions";"$5";"Posted 8 months ago";"";"javascript "
"Bountify | Compile sdhash 4.0 on Ubuntu 18.04 LTS and post instructions including how to build+install completely";"VladimirMikulic";"1 Solution";"$10";"Posted 8 months ago";"8 months ago";"python c++ build ubuntu compilation dependencies linux "
"Bountify | Jumble / substitution algo - javascript - $200";"ivankahl";"2 Solutions";"$100";"Posted 2 months ago";"2 months ago";"javascript "
"Bountify | Javascript - compare text in multiple text areas for same words ";"VladimirMikulic";"2 Solutions";"$25";"Posted 3 months ago";"3 months ago";"javascript "
"Bountify | GUI or Folder Action with Automator for photo restoration library? (willing to double bounty on delivery)";"VladimirMikulic";"1 Solution";"$25";"Posted 3 months ago";"2 months ago";"api automation computational-photography "
"Bountify | Google Ad Manager - Auto Close Intersitial Ad?";"SilverHood Apps";"1 Solution";"$10";"Posted 3 months ago";"3 months ago";"google-ad-manager-360 google-dfp "
"Bountify | WooCommerce add to cart";"";"0 Solutions";"$5";"Posted 3 months ago";"";"PHP woocommerce "
"Bountify | PyElliptic refactoring to add structs instead of void pointers";"";"1 Solution";"$100";"Posted 3 months ago";"";"python openssl ctypes "
"Bountify | Node - test and execute JS on iOS";"";"2 Solutions";"$10";"Posted 3 months ago";"";"javascript cryptography node.js "
"Bountify | How do I get the XY coordinates of a point on this warped platform?";"CyteBode";"1 Solution";"$50";"Posted 3 months ago";"3 months ago";"javascript math  grid canvas videogame "
"Bountify | Python matplotlib legend and title are being cliped ";"dekkard";"2 Solutions";"$10";"Posted 4 months ago";"4 months ago";"python3 "
"Bountify | Canvas - basic playing card designer";"ivankahl";"2 Solutions";"$100";"Posted 4 months ago";"4 months ago";"javascript "
"Bountify | Node JS script to translate SRT file";"";"1 Solution";"$25";"Posted 4 months ago";"";"javascript node.js "
"Bountify | Pandas - Combine two Columns with a comma between them";"Jana";"1 Solution";"$5";"Posted 4 months ago";"4 months ago";"pandas python3 "
"Bountify | Efficient sanitize row delimit emails on text area - angular 8+";"VladimirMikulic";"1 Solution";"$25";"Posted 4 months ago";"4 months ago";"javascript angular "
"Bountify | Email files from ftp";"";"0 Solutions";"$1";"Posted 4 months ago";"";"PHP email ftp "
"Bountify | Advice for web app for customer and lead scoring";"";"1 Solution";"$5";"Posted 5 months ago";"";"file upload csv advice "
"Bountify | Art gallery React app";"VladimirMikulic";"2 Solutions";"$100";"Posted 5 months ago";"5 months ago";"javascript javascript react-js "
"Bountify | Calculate position,rotation, scale, offsets, then manipulate image (javascript)";"kerncy";"1 Solution";"$100";"Posted 5 months ago";"5 months ago";"javascript "
"Bountify | Python Web Traffic Probability Calculation and  Plot";"kerncy";"1 Solution";"$50";"Posted 5 months ago";"5 months ago";"python3 "
"Bountify | MySQL 8 View: Fill in the missing dates ";"";"0 Solutions";"$10";"Posted 5 months ago";"";"MySQL "
"Bountify | Firebase, React project: Client-Server mismatched timezones causing failed post requests";"";"2 Solutions";"$25";"Posted 5 months ago";"";"firebase react-js firebase-authentication "
"Bountify | Cloudflare 1020 - Browser vs CURL";"";"3 Solutions";"$10";"Posted 2 days ago";"";"PHP security json curl cloudflare "
"Bountify | Insert given string in a ""contenteditable"" div at cursor position";"aragornagh";"3 Solutions";"$25";"Posted 4 days ago";"4 days ago";"javascript jQuery "
"Bountify | Secondlife Transaction History";"";"1 Solution";"$10";"Posted 9 days ago";"";"PHP curl secondlife second-life "
"Bountify | Scrape Earnings Conference Call Transcripts from Seekingalpha";"";"0 Solutions";"$1";"Posted 15 days ago";"";"Web scrapping python3 "
"Bountify | Scrape Earnings Conference Call Transcripts from Seekingalpha";"";"0 Solutions";"$1";"Posted 15 days ago";"";"Web scrapping python3 "
